Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Species	Comments
1	Spectrogram 1	1	38791.603326011	38792.281638618	0.6783	3875.000	5750.000	D:\AI_SCMU\2021\Audio\Lava Bench 2\SM4\2_10_21 to 3_19_21\..\..\..\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210214_220000.wav	31.6033	PWR04_20210214_220000.wav	M	AI
2	Spectrogram 1	1	38792.482049161	38793.175777963	0.6937	3812.500	6812.500	D:\AI_SCMU\2021\Audio\Lava Bench 2\SM4\2_10_21 to 3_19_21\..\..\..\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210214_220000.wav	32.4820	PWR04_20210214_220000.wav	M	AI
3	Spectrogram 1	1	49979.281346951	49979.959659558	0.6783	4000.000	6000.000	D:\AI_SCMU\2021\Audio\Lava Bench 2\SM4\2_10_21 to 3_19_21\..\..\..\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210216_050000.wav	59.2813	PWR04_20210216_050000.wav	M	
4	Spectrogram 1	1	73984.633991735	73985.266055755	0.6321	2937.500	5562.500	D:\AI_SCMU\2021\Audio\Lava Bench 2\SM4\2_10_21 to 3_19_21\..\..\..\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210218_235000.wav	4.6340	PWR04_20210218_235000.wav	M	
5	Spectrogram 1	1	73985.558963472	73985.944368362	0.3854	3312.500	4812.500	D:\AI_SCMU\2021\Audio\Lava Bench 2\SM4\2_10_21 to 3_19_21\..\..\..\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210218_235000.wav	5.5590	PWR04_20210218_235000.wav	M	
6	Spectrogram 1	1	73988.210549118	73988.580537813	0.3700	2187.500	4125.000	D:\AI_SCMU\2021\Audio\Lava Bench 2\SM4\2_10_21 to 3_19_21\..\..\..\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210218_235000.wav	8.2105	PWR04_20210218_235000.wav	M	
7	Spectrogram 1	1	73987.439739337	73987.871392814	0.4317	2187.500	4500.000	D:\AI_SCMU\2021\Audio\Lava Bench 2\SM4\2_10_21 to 3_19_21\..\..\..\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210218_235000.wav	7.4398	PWR04_20210218_235000.wav	M	
8	Spectrogram 1	1	74110.464163583	74111.111643799	0.6475	3500.000	5500.000	D:\AI_SCMU\2021\Audio\Lava Bench 2\SM4\2_10_21 to 3_19_21\..\..\..\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_001000.wav	10.4642	PWR04_20210219_001000.wav	M	
9	Spectrogram 1	1	74111.281221951	74111.974950754	0.6937	3812.500	6000.000	D:\AI_SCMU\2021\Audio\Lava Bench 2\SM4\2_10_21 to 3_19_21\..\..\..\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_001000.wav	11.2812	PWR04_20210219_001000.wav	M	
10	Spectrogram 1	1	110019.025995033	110019.658059053	0.6321	3437.500	5437.500	D:\AI_SCMU\2021\Audio\Lava Bench 2\SM4\2_10_21 to 3_19_21\..\..\..\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210223_035000.wav	39.0260	PWR04_20210223_035000.wav	M	
11	Spectrogram 1	1	110024.282917737	110024.899565562	0.6166	3500.000	5312.500	D:\AI_SCMU\2021\Audio\Lava Bench 2\SM4\2_10_21 to 3_19_21\..\..\..\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210223_035000.wav	44.2829	PWR04_20210223_035000.wav	R	
