Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Species	Comments
1	Spectrogram 1	1	55898.434633907	55899.005033145	0.5704	4250.000	6937.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210216_232000.wav	38.4346	S4A04765_20210216_232000.wav	M	
2	Spectrogram 1	1	55914.062068902	55914.632468140	0.5704	3562.500	5312.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210216_232000.wav	54.0621	S4A04765_20210216_232000.wav	M	
3	Spectrogram 1	1	72431.909031946	72432.448598792	0.5396	3375.000	5562.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210218_212000.wav	11.9090	S4A04765_20210218_212000.wav	M	
4	Spectrogram 1	1	72460.459742891	72460.937644955	0.4779	3375.000	5625.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210218_212000.wav	40.4597	S4A04765_20210218_212000.wav	M	
5	Spectrogram 1	1	72558.042982014	72558.597965057	0.5550	3062.500	5375.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210218_214000.wav	18.0430	S4A04765_20210218_214000.wav	M	
6	Spectrogram 1	1	81045.966257965	81046.659986768	0.6937	3187.500	5312.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_211000.wav	45.9663	S4A04765_20210219_211000.wav	M	
7	Spectrogram 1	1	81046.829564919	81047.554126113	0.7246	3125.000	6375.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_211000.wav	46.8296	S4A04765_20210219_211000.wav	M	
8	Spectrogram 1	1	81049.419485783	81049.851139260	0.4317	3562.500	5187.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_211000.wav	49.4195	S4A04765_20210219_211000.wav	M	
9	Spectrogram 1	1	81071.033229488	81071.341553400	0.3083	3500.000	4625.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_212000.wav	11.0333	S4A04765_20210219_212000.wav	M	
10	Spectrogram 1	1	81074.039387633	81074.193549589	0.1542	3750.000	5375.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_212000.wav	14.0394	S4A04765_20210219_212000.wav	M	
11	Spectrogram 1	1	81094.569451953	81095.031937821	0.4625	3562.500	5625.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_212000.wav	34.5695	S4A04765_20210219_212000.wav	M	
12	Spectrogram 1	1	81126.130491735	81126.623809995	0.4933	3000.000	4750.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_213000.wav	6.1305	S4A04765_20210219_213000.wav	M	
13	Spectrogram 1	1	81126.700890973	81127.147960646	0.4471	3125.000	4875.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_213000.wav	6.7009	S4A04765_20210219_213000.wav	M	
14	Spectrogram 1	1	81166.106341084	81167.015896626	0.9096	2937.500	5125.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_213000.wav	46.1063	S4A04765_20210219_213000.wav	M	
15	Spectrogram 1	1	81167.524631081	81168.280024666	0.7554	2750.000	5375.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_213000.wav	47.5246	S4A04765_20210219_213000.wav	M	
16	Spectrogram 1	1	81168.572932383	81169.297493577	0.7246	3187.500	5250.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_213000.wav	48.5729	S4A04765_20210219_213000.wav	M	
17	Spectrogram 1	1	81649.571785286	81650.188433111	0.6166	2937.500	5375.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_225000.wav	49.5718	S4A04765_20210219_225000.wav	M	
18	Spectrogram 1	1	81669.656934053	81670.181084704	0.5242	3750.000	5875.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_230000.wav	9.6569	S4A04765_20210219_230000.wav	M	
19	Spectrogram 1	1	81679.461913583	81680.124809995	0.6629	4062.500	5812.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_230000.wav	19.4619	S4A04765_20210219_230000.wav	M	
20	Spectrogram 1	1	81680.263555755	81680.664376841	0.4008	4250.000	6437.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_230000.wav	20.2635	S4A04765_20210219_230000.wav	M	
21	Spectrogram 1	1	81685.489646069	81686.106293893	0.6166	3000.000	5625.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_230000.wav	25.4897	S4A04765_20210219_230000.wav	M	
22	Spectrogram 1	1	81686.568779762	81686.892519870	0.3237	4062.500	5437.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_230000.wav	26.5688	S4A04765_20210219_230000.wav	M	
23	Spectrogram 1	1	81682.005585860	81682.421823141	0.4162	3625.000	5125.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_230000.wav	22.0056	S4A04765_20210219_230000.wav	M	
24	Spectrogram 1	1	81707.371469125	81707.818538798	0.4471	4375.000	6000.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_230000.wav	47.3715	S4A04765_20210219_230000.wav	M	
25	Spectrogram 1	1	81710.084719553	81710.655118791	0.5704	3875.000	5687.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_230000.wav	50.0847	S4A04765_20210219_230000.wav	M	
26	Spectrogram 1	1	81713.291288241	81714.139179000	0.8479	2937.500	5750.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_230000.wav	53.2913	S4A04765_20210219_230000.wav	M	
27	Spectrogram 1	1	81714.216259978	81715.125815519	0.9096	2687.500	6125.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_230000.wav	54.2163	S4A04765_20210219_230000.wav	M	
28	Spectrogram 1	1	81729.962882965	81730.163293508	0.2004	4500.000	5625.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_231000.wav	9.9629	S4A04765_20210219_231000.wav	M	
29	Spectrogram 1	1	81746.863287384	81747.449102818	0.5858	3750.000	5500.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_231000.wav	26.8633	S4A04765_20210219_231000.wav	M	
30	Spectrogram 1	1	81747.557016187	81748.142831620	0.5858	4437.500	5875.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_231000.wav	27.5570	S4A04765_20210219_231000.wav	M	
31	Spectrogram 1	1	81773.940368362	81774.356605644	0.4162	3250.000	5125.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210219_231000.wav	53.9404	S4A04765_20210219_231000.wav	M	
32	Spectrogram 1	1	100024.131540425	100024.886934010	0.7554	2625.000	5437.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_020000.wav	4.1315	S4A04765_20210222_020000.wav	M	
33	Spectrogram 1	1	100024.994847379	100026.027732485	1.0329	2375.000	5687.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_020000.wav	4.9948	S4A04765_20210222_020000.wav	M	
34	Spectrogram 1	1	100026.258975420	100027.076033787	0.8171	2250.000	5000.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_020000.wav	6.2590	S4A04765_20210222_020000.wav	M	
35	Spectrogram 1	1	100069.109341084	100069.880150865	0.7708	2750.000	5500.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_020000.wav	49.1093	S4A04765_20210222_020000.wav	M	
36	Spectrogram 1	1	100070.018896626	100070.620128255	0.6012	2937.500	5875.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_020000.wav	50.0189	S4A04765_20210222_020000.wav	M	
37	Spectrogram 1	1	100073.395043465	100074.242934224	0.8479	2687.500	5375.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_020000.wav	53.3950	S4A04765_20210222_020000.wav	M	
38	Spectrogram 1	1	100074.381679985	100075.322067917	0.9404	2687.500	5500.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_020000.wav	54.3817	S4A04765_20210222_020000.wav	M	
39	Spectrogram 1	1	100080.640655404	100081.133973664	0.4933	3875.000	5562.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_021000.wav	0.6407	S4A04765_20210222_021000.wav	M	
40	Spectrogram 1	1	100129.694323184	100130.372635791	0.6783	2937.500	4875.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_021000.wav	49.6943	S4A04765_20210222_021000.wav	M	
41	Spectrogram 1	1	100133.502123501	100134.288349478	0.7862	3312.500	5625.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_021000.wav	53.5021	S4A04765_20210222_021000.wav	M	
42	Spectrogram 1	1	100134.581257194	100135.352066975	0.7708	3250.000	5937.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_021000.wav	54.5812	S4A04765_20210222_021000.wav	M	
43	Spectrogram 1	1	100135.598726105	100136.307871103	0.7091	2875.000	6000.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_021000.wav	55.5987	S4A04765_20210222_021000.wav	M	
44	Spectrogram 1	1	100138.466138489	100139.252364466	0.7862	3687.500	5750.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_021000.wav	58.4661	S4A04765_20210222_021000.wav	M	
45	Spectrogram 1	1	100139.483607400	100139.714850334	0.2312	3812.500	5625.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_021000.wav	59.4836	S4A04765_20210222_021000.wav	M	
46	Spectrogram 1	1	100136.616195015	100137.047848493	0.4317	4062.500	5187.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_021000.wav	56.6162	S4A04765_20210222_021000.wav	M	
47	Spectrogram 1	1	100166.545551302	100167.455106843	0.9096	3375.000	5000.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_022000.wav	26.5455	S4A04765_20210222_022000.wav	M	
48	Spectrogram 1	1	100167.655517386	100168.410910971	0.7554	3125.000	5812.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_022000.wav	27.6555	S4A04765_20210222_022000.wav	M	
49	Spectrogram 1	1	100200.049031732	100200.295690862	0.2467	3000.000	4937.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_023000.wav	0.0490	S4A04765_20210222_023000.wav	M	
50	Spectrogram 1	1	100200.511517600	100201.343992163	0.8325	2750.000	5875.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_023000.wav	0.5115	S4A04765_20210222_023000.wav	M	
51	Spectrogram 1	1	100201.652316076	100202.207299118	0.5550	3500.000	5625.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_023000.wav	1.6523	S4A04765_20210222_023000.wav	M	
52	Spectrogram 1	1	100224.012486982	100224.552053828	0.5396	3812.500	5750.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_023000.wav	24.0125	S4A04765_20210222_023000.wav	M	
53	Spectrogram 1	1	100224.752464371	100225.492441761	0.7400	3000.000	5937.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210222_023000.wav	24.7525	S4A04765_20210222_023000.wav	M	
