Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Species	Comments
1	Spectrogram 1	1	5.390100000	6.088966564	0.6989	214.516	929.567	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210211_005000.wav	5.3901	S4A04765_20210211_005000.wav	M	
2	Spectrogram 1	1	9.013000000	12.563840014	3.5508	0.000	12000.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210211_005000.wav	9.0130	S4A04765_20210211_005000.wav	M	
3	Spectrogram 1	1	15.119800000	18.161925043	3.0421	270.131	1120.248	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210211_005000.wav	15.1198	S4A04765_20210211_005000.wav	M	
4	Spectrogram 1	1	26.571000000	29.304801558	2.7338	182.735	12000.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210211_005000.wav	26.5710	S4A04765_20210211_005000.wav	M	very clear
5	Spectrogram 1	1	32.770400000	33.777590047	1.0072	198.626	1072.578	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210211_005000.wav	32.7704	S4A04765_20210211_005000.wav	M	
6	Spectrogram 1	1	38.236500000	38.945644013	0.7091	238.351	1088.468	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210211_005000.wav	38.2365	S4A04765_20210211_005000.wav	M	
7	Spectrogram 1	1	75.140900000	75.706159721	0.5653	214.516	1040.798	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210211_010000.wav	15.1409	S4A04765_20210211_010000.wav	M	
8	Spectrogram 1	1	79.988800000	80.687666564	0.6989	293.966	1096.413	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210211_010000.wav	19.9888	S4A04765_20210211_010000.wav	M	
9	Spectrogram 1	1	82.126500000	82.876753811	0.7503	238.351	1152.028	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210211_010000.wav	22.1265	S4A04765_20210211_010000.wav	M	
10	Spectrogram 1	1	106.012400000	106.803763609	0.7914	397.251	1167.918	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210211_010000.wav	46.0124	S4A04765_20210211_010000.wav	M	
11	Spectrogram 1	1	110.935300000	111.891102800	0.9558	484.646	1231.478	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210211_010000.wav	50.9353	S4A04765_20210211_010000.wav	M	
12	Spectrogram 1	1	121.826400000	122.607486159	0.7811	389.306	1247.368	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\2_10_21 to 3_20_21\Data\S4A04765_20210211_011000.wav	1.8264	S4A04765_20210211_011000.wav	M	
