Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Species	Comments
1	Spectrogram 1	1	7.663900000	12.658747379	4.9948	125.000	2437.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	7.6639	PWR05_20210219_121000.wav	R	
2	Spectrogram 1	1	13.460400000	13.814972499	0.3546	0.000	1750.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	13.4604	PWR05_20210219_121000.wav	R	
3	Spectrogram 1	1	14.231200000	14.724518259	0.4933	62.500	1750.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	14.2312	PWR05_20210219_121000.wav	R	
4	Spectrogram 1	1	16.821100000	17.191088695	0.3700	0.000	1562.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	16.8211	PWR05_20210219_121000.wav	R	
5	Spectrogram 1	1	19.935200000	20.197275326	0.2621	62.500	1500.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	19.9352	PWR05_20210219_121000.wav	R	
6	Spectrogram 1	1	14.709100000	14.878678152	0.1696	62.500	1750.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	14.7091	PWR05_20210219_121000.wav	R	
7	Spectrogram 1	1	34.184000000	34.476907717	0.2929	62.500	1375.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	34.1840	PWR05_20210219_121000.wav	R	
8	Spectrogram 1	1	23.886000000	25.998018799	2.1120	0.000	1875.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	23.8860	PWR05_20210219_121000.wav	R	
9	Spectrogram 1	1	29.559200000	31.085403366	1.5262	0.000	6187.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	29.5592	PWR05_20210219_121000.wav	R	
10	Spectrogram 1	1	36.172800000	36.727783042	0.5550	0.000	3000.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	36.1728	PWR05_20210219_121000.wav	R	
11	Spectrogram 1	1	40.145500000	40.700483042	0.5550	0.000	1375.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	40.1455	PWR05_20210219_121000.wav	R	
12	Spectrogram 1	1	38.681000000	51.489871103	12.8089	0.000	9250.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	38.6810	PWR05_20210219_121000.wav	R	
13	Spectrogram 1	1	53.494700000	53.926353477	0.4317	62.500	1562.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	53.4947	PWR05_20210219_121000.wav	R	
14	Spectrogram 1	1	55.267600000	55.730085868	0.4625	0.000	2250.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_121000.wav	55.2676	PWR05_20210219_121000.wav	R	
15	Spectrogram 1	1	101.022100000	101.422921086	0.4008	0.000	5500.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_123000.wav	41.0221	PWR05_20210219_123000.wav	R	far away
16	Spectrogram 1	1	105.446600000	105.862837282	0.4162	0.000	5437.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_123000.wav	45.4466	PWR05_20210219_123000.wav	R	far away
17	Spectrogram 1	1	105.939900000	106.464050651	0.5242	62.500	5625.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_123000.wav	45.9399	PWR05_20210219_123000.wav	R	far away
18	Spectrogram 1	1	120.195900000	121.490860432	1.2950	0.000	2312.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	0.1959	PWR05_20210219_124000.wav	R	
19	Spectrogram 1	1	124.250400000	125.560776627	1.3104	62.500	2625.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	4.2504	PWR05_20210219_124000.wav	R	
20	Spectrogram 1	1	131.934800000	132.690193586	0.7554	0.000	2375.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	11.9348	PWR05_20210219_124000.wav	R	
21	Spectrogram 1	1	134.108500000	134.709731629	0.6012	125.000	2250.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	14.1085	PWR05_20210219_124000.wav	R	
22	Spectrogram 1	1	134.786800000	135.249285869	0.4625	0.000	2500.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	14.7868	PWR05_20210219_124000.wav	R	
23	Spectrogram 1	1	138.779600000	139.427080216	0.6475	0.000	2875.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	18.7796	PWR05_20210219_124000.wav	R	
24	Spectrogram 1	1	139.457900000	139.997466846	0.5396	0.000	2500.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	19.4579	PWR05_20210219_124000.wav	R	
25	Spectrogram 1	1	142.659900000	144.062773801	1.4029	250.000	2625.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	22.6599	PWR05_20210219_124000.wav	R	
26	Spectrogram 1	1	147.546800000	148.857176627	1.3104	0.000	2500.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	27.5468	PWR05_20210219_124000.wav	R	
27	Spectrogram 1	1	152.403000000	154.191278692	1.7883	0.000	2500.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	32.4030	PWR05_20210219_124000.wav	R	
28	Spectrogram 1	1	157.578200000	158.534004128	0.9558	125.000	2375.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	37.5782	PWR05_20210219_124000.wav	R	
29	Spectrogram 1	1	155.389100000	156.283239346	0.8941	0.000	2375.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	35.3891	PWR05_20210219_124000.wav	R	
30	Spectrogram 1	1	160.044800000	161.463089996	1.4183	0.000	2312.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	40.0448	PWR05_20210219_124000.wav	R	
31	Spectrogram 1	1	162.896800000	163.775523151	0.8787	125.000	2375.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	42.8968	PWR05_20210219_124000.wav	R	
32	Spectrogram 1	1	165.579200000	166.457923151	0.8787	0.000	2250.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_124000.wav	45.5792	PWR05_20210219_124000.wav	R	
34	Spectrogram 1	1	221.635800000	223.054089997	1.4183	0.000	1875.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_162000.wav	41.6358	PWR05_20210219_162000.wav	U	
35	Spectrogram 1	1	235.572000000	235.926572499	0.3546	0.000	1250.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210219_162000.wav	55.5720	PWR05_20210219_162000.wav	R	
36	Spectrogram 1	1	271.663700000	272.311180216	0.6475	0.000	6500.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210222_154000.wav	31.6637	PWR05_20210222_154000.wav	R	
