"folder","relative_path","file","image_no","site","cam_id","date_time","date","time","year","month","day","jday","hour","min","sec","tod","image_type","image_quality","delete_flag","camera_location","start_date","technician_name","service","empty","animal","human","human_activity","murrelet","adult","offspring","egg","species","count","predation_event","tags","second_opinion","good_picture","comments","ID","min2","int_diff","int_diff_secs","murrelet_status","SCMU","CORA","BNOW","PEEM","predation","detection"
"Pinnacle Camera 1","2_10_21 to 4_1_21","RCNX0401.JPG","2021_Pinnacle_72296","Pinnacle","cam_05","2021-02-13 02:11:00","2021-02-13","02:11:00",2021,2,13,44,2,11,0,"dawn","motion","Ok","false","Pinnacle Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Barn owl",1,"false",NA,"false","false",NA,72296,1,60,1,NA,0,0,1,0,0,1
"Pinnacle Camera 1","2_10_21 to 4_1_21","RCNX0402.JPG","2021_Pinnacle_72297","Pinnacle","cam_05","2021-02-13 02:11:01","2021-02-13","02:11:01",2021,2,13,44,2,11,1,"dawn","motion","Ok","false","Pinnacle Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Barn owl",1,"false",NA,"false","false",NA,72297,1,1,0.0166666666666667,NA,0,0,1,0,0,1
"Pinnacle Camera 1","2_10_21 to 4_1_21","RCNX0403.JPG","2021_Pinnacle_72298","Pinnacle","cam_05","2021-02-13 02:11:02","2021-02-13","02:11:02",2021,2,13,44,2,11,2,"dawn","motion","Ok","false","Pinnacle Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Barn owl",1,"false",NA,"false","false",NA,72298,1,1,0.0166666666666667,NA,0,0,1,0,0,1
"Pinnacle Camera 1","2_10_21 to 4_1_21","RCNX0404.JPG","2021_Pinnacle_72299","Pinnacle","cam_05","2021-02-13 02:11:02","2021-02-13","02:11:02",2021,2,13,44,2,11,2,"dawn","motion","Ok","false","Pinnacle Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Barn owl",1,"false",NA,"false","false",NA,72299,1,0,0,NA,0,0,1,0,0,1
"Pinnacle Camera 1","2_10_21 to 4_1_21","RCNX0405.JPG","2021_Pinnacle_72300","Pinnacle","cam_05","2021-02-13 02:11:03","2021-02-13","02:11:03",2021,2,13,44,2,11,3,"dawn","motion","Ok","false","Pinnacle Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Barn owl",1,"false",NA,"false","false",NA,72300,1,1,0.0166666666666667,NA,0,0,1,0,0,1
"Pinnacle Camera 1","2_10_21 to 4_1_21","RCNX0406.JPG","2021_Pinnacle_72301","Pinnacle","cam_05","2021-02-13 02:20:00","2021-02-13","02:20:00",2021,2,13,44,2,20,0,"dawn","timelapse","Ok","false","Pinnacle Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Barn owl",1,"false",NA,"false","false",NA,72301,0,537,8.95,NA,0,0,1,0,0,1
"Pinnacle Camera 1","2_10_21 to 4_1_21","RCNX0407.JPG","2021_Pinnacle_72302","Pinnacle","cam_05","2021-02-13 02:30:00","2021-02-13","02:30:00",2021,2,13,44,2,30,0,"dawn","timelapse","Ok","false","Pinnacle Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Barn owl",1,"false",NA,"false","false",NA,72302,0,600,10,NA,0,0,1,0,0,1
"Pinnacle Camera 1","2_10_21 to 4_1_21","RCNX0408.JPG","2021_Pinnacle_72303","Pinnacle","cam_05","2021-02-13 02:40:00","2021-02-13","02:40:00",2021,2,13,44,2,40,0,"dawn","timelapse","Ok","false","Pinnacle Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Barn owl",1,"false",NA,"false","false",NA,72303,0,600,10,NA,0,0,1,0,0,1
"Pinnacle Camera 1","2_10_21 to 4_1_21","RCNX0409.JPG","2021_Pinnacle_72304","Pinnacle","cam_05","2021-02-13 02:50:00","2021-02-13","02:50:00",2021,2,13,44,2,50,0,"dawn","timelapse","Ok","false","Pinnacle Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Barn owl",1,"false",NA,"false","false",NA,72304,0,600,10,NA,0,0,1,0,0,1
"Pinnacle Camera 1","2_10_21 to 4_1_21","RCNX0410.JPG","2021_Pinnacle_72305","Pinnacle","cam_05","2021-02-13 03:00:00","2021-02-13","03:00:00",2021,2,13,44,3,0,0,"dawn","timelapse","Ok","false","Pinnacle Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Barn owl",1,"false",NA,"false","false",NA,72305,NA,600,10,NA,0,0,1,0,0,1
