"site","cam_id","date","jday","hour","image_type","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-10,41,12,"motion",0,0
"Lava1","cam_01",2021-02-10,41,12,"timelapse",0,0
"Lava1","cam_01",2021-02-10,41,13,"timelapse",0,0
"Lava1","cam_01",2021-02-10,41,14,"timelapse",0,0
"Lava1","cam_01",2021-02-10,41,15,"timelapse",0,0
"Lava1","cam_01",2021-02-10,41,16,"timelapse",0,0
"Lava1","cam_01",2021-02-10,41,17,"timelapse",0,0
"Lava1","cam_01",2021-02-10,41,18,"timelapse",0,0
"Lava1","cam_01",2021-02-10,41,19,"timelapse",0,0
"Lava1","cam_01",2021-02-10,41,20,"timelapse",0,0
"Lava1","cam_01",2021-02-10,41,21,"timelapse",0,0
"Lava1","cam_01",2021-02-10,41,22,"timelapse",0,0
"Lava1","cam_01",2021-02-10,41,23,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,0,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,1,"timelapse",1,0
"Lava1","cam_01",2021-02-11,42,2,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,3,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,4,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,5,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,6,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,7,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,8,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,9,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,10,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,11,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,12,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,13,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,14,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,15,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,16,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,17,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,18,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,19,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,20,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,21,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,22,"timelapse",0,0
"Lava1","cam_01",2021-02-11,42,23,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,0,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,1,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,2,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,3,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,4,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,5,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,6,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,7,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,8,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,9,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,10,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,11,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,12,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,13,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,14,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,15,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,16,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,17,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,18,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,19,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,20,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,21,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,22,"timelapse",0,0
"Lava1","cam_01",2021-02-12,43,23,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,0,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,1,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,2,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,3,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,4,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,5,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,6,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,7,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,8,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,9,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,10,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,11,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,12,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,13,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,14,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,15,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,16,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,17,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,18,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,19,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,20,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,21,"timelapse",0,0
"Lava1","cam_01",2021-02-13,44,22,"timelapse",1,0
"Lava1","cam_01",2021-02-13,44,23,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,0,"motion",1,0
"Lava1","cam_01",2021-02-14,45,0,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,1,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,2,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,3,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,4,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,5,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,6,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,7,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,8,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,9,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,10,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,11,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,12,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,13,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,14,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,15,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,16,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,17,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,18,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,19,"timelapse",0,0
"Lava1","cam_01",2021-02-14,45,20,"timelapse",1,0
"Lava1","cam_01",2021-02-14,45,21,"timelapse",1,0
"Lava1","cam_01",2021-02-14,45,22,"timelapse",1,0
"Lava1","cam_01",2021-02-14,45,23,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,0,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,1,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,2,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,3,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,4,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,5,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,6,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,7,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,8,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,9,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,10,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,11,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,12,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,13,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,14,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,15,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,16,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,17,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,18,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,19,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,20,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,21,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,22,"timelapse",0,0
"Lava1","cam_01",2021-02-15,46,23,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,0,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,1,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,2,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,3,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,4,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,5,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,6,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,7,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,8,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,9,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,10,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,11,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,12,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,13,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,14,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,15,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,16,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,17,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,18,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,19,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,20,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,21,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,22,"timelapse",0,0
"Lava1","cam_01",2021-02-16,47,23,"timelapse",1,0
"Lava1","cam_01",2021-02-17,48,0,"timelapse",0,0
"Lava1","cam_01",2021-02-17,48,1,"timelapse",0,0
"Lava1","cam_01",2021-02-17,48,2,"timelapse",0,0
"Lava1","cam_01",2021-02-17,48,3,"timelapse",0,0
"Lava1","cam_01",2021-02-17,48,4,"timelapse",0,0
