"site","cam_id","date","jday","hour","tod","image_type","photo_count","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-10,41,12,"day","motion",10,0,0
"Lava1","cam_01",2021-02-10,41,12,"day","timelapse",4,0,0
"Lava1","cam_01",2021-02-10,41,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,14,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,16,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,16,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,18,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,19,"night","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,19,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,20,"night","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,20,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,21,"night","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,21,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,22,"night","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,22,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,23,"night","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,23,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,0,"night","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,0,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,1,"night","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,1,"night","timelapse",6,1,0
"Lava1","cam_01",2021-02-11,42,2,"night","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,2,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,3,"night","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,3,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,4,"night","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,4,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,7,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,7,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,9,"day","timelapse",6,0,0
