"site","cam_id","date","jday","hour","tod","image_type","photo_count","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-10,41,12,"day","motion",10,0,0
"Lava1","cam_01",2021-02-10,41,12,"day","timelapse",4,0,0
"Lava1","cam_01",2021-02-10,41,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,14,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,16,"day","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,16,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,18,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,19,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,19,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,20,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,20,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,21,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,21,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,22,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,22,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-10,41,23,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-10,41,23,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,0,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,0,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,1,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,1,"dawn","timelapse",6,1,0
"Lava1","cam_01",2021-02-11,42,2,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,2,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,3,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,3,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,4,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,4,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,7,"day","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,7,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-11,42,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-11,42,9,"day","motion",0,0,0
