"folder","relative_path","file","image_no","site","cam_id","date_time","date","time","year","month","day","jday","hour","min","sec","tod","image_type","image_quality","delete_flag","camera_location","start_date","technician_name","service","empty","animal","human","human_activity","murrelet","adult","offspring","egg","species","count","predation_event","tags","second_opinion","good_picture","comments","ID","min2","int_diff","int_diff_secs","murrelet_status","SCMU","CORA","BNOW","PEEM","predation","detection"
"Lava1","2_10_21 to 4_1_21","RCNX0087.JPG","2021_Lava1_87","Lava1","cam_01","2021-02-11 01:00:00","2021-02-11","01:00:00",2021,2,11,42,1,0,0,"dawn","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,87,NA,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX0505.JPG","2021_Lava1_505","Lava1","cam_01","2021-02-13 22:40:00","2021-02-13","22:40:00",2021,2,13,44,22,40,0,"dusk","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,505,0,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX0518.JPG","2021_Lava1_518","Lava1","cam_01","2021-02-14 00:45:28","2021-02-14","00:45:28",2021,2,14,45,0,45,28,"dawn","motion","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,518,5,328,5.46666666666667,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX0519.JPG","2021_Lava1_519","Lava1","cam_01","2021-02-14 00:45:28","2021-02-14","00:45:28",2021,2,14,45,0,45,28,"dawn","motion","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,519,5,0,0,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX0520.JPG","2021_Lava1_520","Lava1","cam_01","2021-02-14 00:45:29","2021-02-14","00:45:29",2021,2,14,45,0,45,29,"dawn","motion","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,520,5,1,0.0166666666666667,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX0521.JPG","2021_Lava1_521","Lava1","cam_01","2021-02-14 00:45:30","2021-02-14","00:45:30",2021,2,14,45,0,45,30,"dawn","motion","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,521,5,1,0.0166666666666667,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX0522.JPG","2021_Lava1_522","Lava1","cam_01","2021-02-14 00:45:30","2021-02-14","00:45:30",2021,2,14,45,0,45,30,"dawn","motion","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,522,5,0,0,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX0642.JPG","2021_Lava1_642","Lava1","cam_01","2021-02-14 20:40:00","2021-02-14","20:40:00",2021,2,14,45,20,40,0,"dusk","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",2,0,"false",NA,0,"false",NA,"false","false",NA,642,0,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX0645.JPG","2021_Lava1_645","Lava1","cam_01","2021-02-14 21:10:00","2021-02-14","21:10:00",2021,2,14,45,21,10,0,"dusk","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,645,0,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX0653.JPG","2021_Lava1_653","Lava1","cam_01","2021-02-14 22:30:00","2021-02-14","22:30:00",2021,2,14,45,22,30,0,"dusk","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",2,0,"false",NA,0,"false",NA,"false","false",NA,653,0,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX0947.JPG","2021_Lava1_947","Lava1","cam_01","2021-02-16 23:30:00","2021-02-16","23:30:00",2021,2,16,47,23,30,0,"dusk","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,947,0,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX0948.JPG","2021_Lava1_948","Lava1","cam_01","2021-02-16 23:40:00","2021-02-16","23:40:00",2021,2,16,47,23,40,0,"dusk","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,948,0,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX1222.JPG","2021_Lava1_1222","Lava1","cam_01","2021-02-18 21:20:00","2021-02-18","21:20:00",2021,2,18,49,21,20,0,"dusk","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,1222,0,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX1252.JPG","2021_Lava1_1252","Lava1","cam_01","2021-02-19 02:20:00","2021-02-19","02:20:00",2021,2,19,50,2,20,0,"dawn","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Mouse",1,"false",NA,"false","false",NA,1252,0,600,10,NA,0,0,0,1,0,1
"Lava1","2_10_21 to 4_1_21","RCNX1353.JPG","2021_Lava1_1353","Lava1","cam_01","2021-02-19 19:10:00","2021-02-19","19:10:00",2021,2,19,50,19,10,0,"dusk","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,1353,0,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX1366.JPG","2021_Lava1_1366","Lava1","cam_01","2021-02-19 21:20:00","2021-02-19","21:20:00",2021,2,19,50,21,20,0,"dusk","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",2,0,"false",NA,0,"false",NA,"false","false",NA,1366,0,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX1376.JPG","2021_Lava1_1376","Lava1","cam_01","2021-02-19 23:00:00","2021-02-19","23:00:00",2021,2,19,50,23,0,0,"dusk","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",2,0,"false",NA,0,"false",NA,"false","false",NA,1376,NA,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX1683.JPG","2021_Lava1_1683","Lava1","cam_01","2021-02-22 02:10:00","2021-02-22","02:10:00",2021,2,22,53,2,10,0,"dawn","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,1683,0,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX1684.JPG","2021_Lava1_1684","Lava1","cam_01","2021-02-22 02:20:00","2021-02-22","02:20:00",2021,2,22,53,2,20,0,"dawn","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,1684,0,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX1685.JPG","2021_Lava1_1685","Lava1","cam_01","2021-02-22 02:30:00","2021-02-22","02:30:00",2021,2,22,53,2,30,0,"dawn","timelapse","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,1685,0,600,10,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX1686.JPG","2021_Lava1_1686","Lava1","cam_01","2021-02-22 02:32:20","2021-02-22","02:32:20",2021,2,22,53,2,32,20,"dawn","motion","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,1686,2,140,2.33333333333333,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX1687.JPG","2021_Lava1_1687","Lava1","cam_01","2021-02-22 02:32:21","2021-02-22","02:32:21",2021,2,22,53,2,32,21,"dawn","motion","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,1687,2,1,0.0166666666666667,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX1688.JPG","2021_Lava1_1688","Lava1","cam_01","2021-02-22 02:32:21","2021-02-22","02:32:21",2021,2,22,53,2,32,21,"dawn","motion","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,1688,2,0,0,"alive",1,0,0,0,0,1
"Lava1","2_10_21 to 4_1_21","RCNX1689.JPG","2021_Lava1_1689","Lava1","cam_01","2021-02-22 02:32:22","2021-02-22","02:32:22",2021,2,22,53,2,32,22,"dawn","motion","Ok","false","Lava Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,1689,2,1,0.0166666666666667,"alive",1,0,0,0,0,1
