"folder","relative_path","file","image_no","site","cam_id","date_time","date","time","year","month","day","jday","hour","min","sec","tod","image_type","image_quality","delete_flag","camera_location","start_date","technician_name","service","empty","animal","human","human_activity","murrelet","adult","offspring","egg","species","count","predation_event","tags","second_opinion","good_picture","comments","ID","min2","int_diff","int_diff_secs","murrelet_status","SCMU","CORA","BNOW","PEEM","predation","detection"
"Moss Camera 1","2_10_21 to 4_1_21","RCNX0688.JPG","2021_Moss_34167","Moss","cam_03","2021-02-15 01:30:00","2021-02-15","01:30:00",2021,2,15,46,1,30,0,"dawn","timelapse","Ok","false","Moss Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,34167,0,600,10,"alive",1,0,0,0,0,1
"Moss Camera 1","2_10_21 to 4_1_21","RCNX0689.JPG","2021_Moss_34168","Moss","cam_03","2021-02-15 01:30:29","2021-02-15","01:30:29",2021,2,15,46,1,30,29,"dawn","motion","Ok","false","Moss Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,34168,0,29,0.483333333333333,"alive",1,0,0,0,0,1
"Moss Camera 1","2_10_21 to 4_1_21","RCNX0690.JPG","2021_Moss_34169","Moss","cam_03","2021-02-15 01:30:29","2021-02-15","01:30:29",2021,2,15,46,1,30,29,"dawn","motion","Ok","false","Moss Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,34169,0,0,0,"alive",1,0,0,0,0,1
"Moss Camera 1","2_10_21 to 4_1_21","RCNX0691.JPG","2021_Moss_34170","Moss","cam_03","2021-02-15 01:30:30","2021-02-15","01:30:30",2021,2,15,46,1,30,30,"dawn","motion","Ok","false","Moss Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,34170,0,1,0.0166666666666667,"alive",1,0,0,0,0,1
"Moss Camera 1","2_10_21 to 4_1_21","RCNX0692.JPG","2021_Moss_34171","Moss","cam_03","2021-02-15 01:30:30","2021-02-15","01:30:30",2021,2,15,46,1,30,30,"dawn","motion","Ok","false","Moss Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,34171,0,0,0,"alive",1,0,0,0,0,1
"Moss Camera 1","2_10_21 to 4_1_21","RCNX0693.JPG","2021_Moss_34172","Moss","cam_03","2021-02-15 01:30:31","2021-02-15","01:30:31",2021,2,15,46,1,30,31,"dawn","motion","Ok","false","Moss Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,34172,0,1,0.0166666666666667,"alive",1,0,0,0,0,1
"Moss Camera 1","2_10_21 to 4_1_21","RCNX1286.JPG","2021_Moss_34765","Moss","cam_03","2021-02-19 03:30:00","2021-02-19","03:30:00",2021,2,19,50,3,30,0,"dawn","timelapse","Ok","false","Moss Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,34765,0,600,10,"alive",1,0,0,0,0,1
"Moss Camera 1","2_10_21 to 4_1_21","RCNX1287.JPG","2021_Moss_34766","Moss","cam_03","2021-02-19 03:31:55","2021-02-19","03:31:55",2021,2,19,50,3,31,55,"dawn","motion","Ok","false","Moss Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,34766,1,115,1.91666666666667,"alive",1,0,0,0,0,1
"Moss Camera 1","2_10_21 to 4_1_21","RCNX1288.JPG","2021_Moss_34767","Moss","cam_03","2021-02-19 03:31:56","2021-02-19","03:31:56",2021,2,19,50,3,31,56,"dawn","motion","Ok","false","Moss Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,34767,1,1,0.0166666666666667,"alive",1,0,0,0,0,1
"Moss Camera 1","2_10_21 to 4_1_21","RCNX1302.JPG","2021_Moss_34781","Moss","cam_03","2021-02-19 05:11:06","2021-02-19","05:11:06",2021,2,19,50,5,11,6,"dawn","motion","Ok","false","Moss Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",2,0,"false",NA,0,"false",NA,"false","false",NA,34781,1,66,1.1,"alive",1,0,0,0,0,1
