"folder","relative_path","file","image_no","site","cam_id","date_time","date","time","year","month","day","jday","hour","min","sec","tod","image_type","image_quality","delete_flag","camera_location","start_date","technician_name","service","empty","animal","human","human_activity","murrelet","adult","offspring","egg","species","count","predation_event","tags","second_opinion","good_picture","comments","ID","min2","int_diff","int_diff_secs","murrelet_status","SCMU","CORA","BNOW","PEEM","predation","detection"
"Refuge","2_10_21 to 4_1_21","RCNX0826.JPG","2021_Refuge_102304","Refuge","cam_07","2021-02-16 06:10:00","2021-02-16","06:10:00",2021,2,16,47,6,10,0,"dawn","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,102304,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX1341.JPG","2021_Refuge_102819","Refuge","cam_07","2021-02-19 20:00:00","2021-02-19","20:00:00",2021,2,19,50,20,0,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Mouse",1,"false",NA,"true","false",NA,102819,NA,600,10,NA,0,0,0,1,0,1
"Refuge","2_10_21 to 4_1_21","RCNX1361.JPG","2021_Refuge_102839","Refuge","cam_07","2021-02-19 23:20:00","2021-02-19","23:20:00",2021,2,19,50,23,20,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,102839,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX1433.JPG","2021_Refuge_102911","Refuge","cam_07","2021-02-20 11:20:00","2021-02-20","11:20:00",2021,2,20,51,11,20,0,"day","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,102911,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX1794.JPG","2021_Refuge_103272","Refuge","cam_07","2021-02-22 23:30:00","2021-02-22","23:30:00",2021,2,22,53,23,30,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Raven",1,"false",NA,"false","false",NA,103272,0,600,10,NA,0,1,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX1916.JPG","2021_Refuge_103394","Refuge","cam_07","2021-02-23 19:50:00","2021-02-23","19:50:00",2021,2,23,54,19,50,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"true","false",NA,103394,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX2653.JPG","2021_Refuge_104131","Refuge","cam_07","2021-02-28 22:40:00","2021-02-28","22:40:00",2021,2,28,59,22,40,0,"dusk","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"true",1,0,"false",NA,0,"false",NA,"false","false",NA,104131,0,600,10,"alive",1,0,0,0,0,1
"Refuge","2_10_21 to 4_1_21","RCNX2708.JPG","2021_Refuge_104186","Refuge","cam_07","2021-03-01 07:50:00","2021-03-01","07:50:00",2021,3,1,60,7,50,0,"day","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Unknown",1,"false",NA,"false","false","belted kingfisher",104186,0,600,10,NA,0,0,0,0,0,0
"Refuge","2_10_21 to 4_1_21","RCNX2709.JPG","2021_Refuge_104187","Refuge","cam_07","2021-03-01 08:00:00","2021-03-01","08:00:00",2021,3,1,60,8,0,0,"day","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Unknown",1,"false",NA,"false","false","belted kingfisher",104187,NA,600,10,NA,0,0,0,0,0,0
"Refuge","2_10_21 to 4_1_21","RCNX2710.JPG","2021_Refuge_104188","Refuge","cam_07","2021-03-01 08:10:00","2021-03-01","08:10:00",2021,3,1,60,8,10,0,"day","timelapse","Ok","false","Refuge Cave","02/10/2021","Tam Ta","false","false","true","false",NA,"false",0,0,"false","Unknown",1,"false",NA,"false","false","belted kingfisher",104188,0,600,10,NA,0,0,0,0,0,0
