Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Species	Comments
1	Spectrogram 1	1	38589.553845495	38590.016331363	0.4625	3375.000	5687.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210418_220000.wav	18.5565	S4A04765_20210418_220000.wav	M	
2	Spectrogram 1	1	38748.023286699	38748.609102133	0.5858	3125.000	4500.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210418_222000.wav	57.0260	S4A04765_20210418_222000.wav	M	
3	Spectrogram 1	1	39249.785088429	39250.787141144	1.0021	3125.000	5125.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210418_235000.wav	18.7877	S4A04765_20210418_235000.wav	M	
4	Spectrogram 1	1	39250.864222122	39251.326707991	0.4625	3125.000	4937.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210418_235000.wav	19.8669	S4A04765_20210418_235000.wav	M	
5	Spectrogram 1	1	39248.998862453	39249.600094082	0.6012	3125.000	5125.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210418_235000.wav	18.0015	S4A04765_20210418_235000.wav	M	
6	Spectrogram 1	1	39263.177175060	39263.593412342	0.4162	3375.000	5125.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210418_235000.wav	32.1798	S4A04765_20210418_235000.wav	M	
7	Spectrogram 1	1	39263.886320058	39264.518384078	0.6321	3187.500	5125.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210418_235000.wav	32.8890	S4A04765_20210418_235000.wav	M	
8	Spectrogram 1	1	40519.256249015	40519.934561622	0.6783	3062.500	5375.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210419_032000.wav	28.2589	S4A04765_20210419_032000.wav	M	
9	Spectrogram 1	1	40554.684891444	40555.486533616	0.8016	3375.000	5875.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210419_033000.wav	3.6875	S4A04765_20210419_033000.wav	M	
10	Spectrogram 1	1	40555.594446985	40555.964435680	0.3700	3875.000	5687.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210419_033000.wav	4.5971	S4A04765_20210419_033000.wav	M	
11	Spectrogram 1	1	40554.176156989	40554.592394270	0.4162	3562.500	4937.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210419_033000.wav	3.1788	S4A04765_20210419_033000.wav	M	
12	Spectrogram 1	1	47587.569076953	47596.834210517	9.2651	2250.000	10937.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210419_230000.wav	16.5718	S4A04765_20210419_230000.wav	U	
13	Spectrogram 1	1	56180.093935937	56181.188485826	1.0945	2562.500	5562.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210420_225000.wav	29.0966	S4A04765_20210420_225000.wav	M	
14	Spectrogram 1	1	56181.296399195	56182.020960389	0.7246	3625.000	6625.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210420_225000.wav	30.2991	S4A04765_20210420_225000.wav	M	
15	Spectrogram 1	1	56223.183856800	56223.538429299	0.3546	4500.000	5875.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210420_230000.wav	12.1865	S4A04765_20210420_230000.wav	M	
16	Spectrogram 1	1	56229.149924503	56229.566161785	0.4162	3937.500	5875.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210420_230000.wav	18.1526	S4A04765_20210420_230000.wav	M	
17	Spectrogram 1	1	56243.278013618	56243.586337530	0.3083	3000.000	4875.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210420_230000.wav	32.2807	S4A04765_20210420_230000.wav	M	
18	Spectrogram 1	1	56261.867916410	56262.407483256	0.5396	3625.000	5625.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210420_230000.wav	50.8706	S4A04765_20210420_230000.wav	M	
19	Spectrogram 1	1	56260.865863695	56261.528760106	0.6629	3562.500	5437.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210420_230000.wav	49.8685	S4A04765_20210420_230000.wav	M	
20	Spectrogram 1	1	56284.100462059	56284.686277492	0.5858	4000.000	6000.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210420_231000.wav	13.1031	S4A04765_20210420_231000.wav	M	
21	Spectrogram 1	1	56284.917520427	56285.780827381	0.8633	3812.500	6500.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210420_231000.wav	13.9202	S4A04765_20210420_231000.wav	M	
22	Spectrogram 1	1	56287.322446942	56287.723268028	0.4008	3625.000	5687.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210420_231000.wav	16.3251	S4A04765_20210420_231000.wav	M	
23	Spectrogram 1	1	56287.846597593	56288.494077809	0.6475	3312.500	5375.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210420_231000.wav	16.8493	S4A04765_20210420_231000.wav	M	
24	Spectrogram 1	1	56331.174865322	56331.760680755	0.5858	3125.000	5312.500	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210420_232000.wav	0.1775	S4A04765_20210420_232000.wav	M	
25	Spectrogram 1	1	56331.991923690	56332.361912384	0.3700	3437.500	5000.000	D:\AI_SCMU\2021\Audio\Lava Bench 1\SM4\4_14_21 to 5_23_21\Data\S4A04765_20210420_232000.wav	0.9946	S4A04765_20210420_232000.wav	M	
