Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Species	Comments
1	Spectrogram 1	1	40070.605337059	40071.268233470	0.6629	3500.000	5875.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210215_013000.wav	50.6053	PWR04_20210215_013000.wav	M	
2	Spectrogram 1	1	75341.389260320	75342.360480644	0.9712	3875.000	6875.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	41.3892	PWR04_20210219_033000.wav	M	
3	Spectrogram 1	1	75342.406729231	75343.516695315	1.1100	3187.500	7625.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	42.4068	PWR04_20210219_033000.wav	M	
4	Spectrogram 1	1	75343.778770641	75344.688326182	0.9096	3187.500	6375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	43.7788	PWR04_20210219_033000.wav	M	
5	Spectrogram 1	1	75344.873320529	75345.335806398	0.4625	4000.000	5812.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	44.8733	PWR04_20210219_033000.wav	M	
6	Spectrogram 1	1	75346.091199983	75346.599934438	0.5087	2687.500	5125.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	46.0912	PWR04_20210219_033000.wav	M	
7	Spectrogram 1	1	75346.677015416	75347.447825197	0.7708	2000.000	6562.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	46.6770	PWR04_20210219_033000.wav	M	
8	Spectrogram 1	1	75347.540322371	75348.234051173	0.6937	2375.000	5500.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	47.5403	PWR04_20210219_033000.wav	M	
9	Spectrogram 1	1	75348.357380738	75348.927779976	0.5704	2187.500	4812.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	48.3574	PWR04_20210219_033000.wav	M	
10	Spectrogram 1	1	75351.827428871	75352.444076696	0.6166	1750.000	3312.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	51.8274	PWR04_20210219_033000.wav	M	
11	Spectrogram 1	1	75353.029892129	75353.769869519	0.7400	1687.500	3250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	53.0299	PWR04_20210219_033000.wav	M	
12	Spectrogram 1	1	75354.232355387	75354.602344082	0.3700	2250.000	3500.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	54.2324	PWR04_20210219_033000.wav	M	
13	Spectrogram 1	1	75354.926084190	75355.558148210	0.6321	1875.000	4250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	54.9261	PWR04_20210219_033000.wav	M	
14	Spectrogram 1	1	75355.758558753	75356.452287556	0.6937	2125.000	4125.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	55.7585	PWR04_20210219_033000.wav	M	
15	Spectrogram 1	1	75356.683530490	75357.238513532	0.5550	2375.000	4250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	56.6835	PWR04_20210219_033000.wav	M	
16	Spectrogram 1	1	75357.577669836	75358.410144399	0.8325	2250.000	3937.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	57.5777	PWR04_20210219_033000.wav	M	
17	Spectrogram 1	1	75358.934295050	75359.566359070	0.6321	2437.500	3687.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_033000.wav	58.9343	PWR04_20210219_033000.wav	M	
18	Spectrogram 1	1	75848.949247388	75849.627559995	0.6783	3687.500	5500.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_050000.wav	8.9492	PWR04_20210219_050000.wav	M	
