Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Species	Comments
1	Spectrogram 1	1	22747.439697670	22748.071761691	0.6321	3375.000	5625.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_021000.wav	7.4397	PWR05_20210213_021000.wav	M	
2	Spectrogram 1	1	22755.409870803	22756.026518628	0.6166	3437.500	5687.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_021000.wav	15.4099	PWR05_20210213_021000.wav	M	
3	Spectrogram 1	1	22776.195364851	22776.873677458	0.6783	3500.000	5625.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_021000.wav	36.1954	PWR05_20210213_021000.wav	M	
4	Spectrogram 1	1	22782.993907117	22783.564306355	0.5704	3562.500	5875.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_021000.wav	42.9939	PWR05_20210213_021000.wav	M	
5	Spectrogram 1	1	22794.597715057	22795.091033316	0.4933	3625.000	5500.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_021000.wav	54.5977	PWR05_20210213_021000.wav	M	
6	Spectrogram 1	1	22815.893722679	22816.433289526	0.5396	3375.000	5750.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_022000.wav	15.8937	PWR05_20210213_022000.wav	M	
7	Spectrogram 1	1	22856.846825497	22857.463473321	0.6166	3312.500	5562.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_022000.wav	56.8468	PWR05_20210213_022000.wav	M	
8	Spectrogram 1	1	22858.018456363	22858.588855601	0.5704	3500.000	5562.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_022000.wav	58.0185	PWR05_20210213_022000.wav	M	
9	Spectrogram 1	1	22942.335579993	22942.875146840	0.5396	3312.500	5375.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_024000.wav	22.3356	PWR05_20210213_024000.wav	M	
10	Spectrogram 1	1	22955.157267386	22955.743082819	0.5858	3312.500	5375.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_024000.wav	35.1572	PWR05_20210213_024000.wav	M	
11	Spectrogram 1	1	22990.061884164	22990.740196771	0.6783	3562.500	6000.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_025000.wav	10.0619	PWR05_20210213_025000.wav	M	
12	Spectrogram 1	1	22991.063936879	22991.803914269	0.7400	3500.000	5875.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_025000.wav	11.0639	PWR05_20210213_025000.wav	M	
13	Spectrogram 1	1	23031.255612967	23031.918509378	0.6629	3187.500	5937.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_025000.wav	51.2556	PWR05_20210213_025000.wav	M	
14	Spectrogram 1	1	23132.125018328	23132.633752783	0.5087	3875.000	5875.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\2_10_21 to 3_19_21\Data\PWR05_20210213_031000.wav	32.1250	PWR05_20210213_031000.wav	M	
