Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Species	Comments
1	Spectrogram 1	1	196322.142601190	196322.682168037	0.5396	0.000	2875.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_123000.wav	2.1426	PWR05_20210614_123000.wav	R	
2	Spectrogram 1	1	196335.981757494	196336.536740536	0.5550	375.000	10250.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_123000.wav	15.9817	PWR05_20210614_123000.wav	R	
3	Spectrogram 1	1	196384.976081278	196385.561896711	0.5858	125.000	2062.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_124000.wav	4.9761	PWR05_20210614_124000.wav	R	
4	Spectrogram 1	1	196394.745361939	196395.315761177	0.5704	687.500	2250.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_124000.wav	14.7454	PWR05_20210614_124000.wav	R	
5	Spectrogram 1	1	196401.374326053	196401.898476704	0.5242	312.500	2375.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_124000.wav	21.3743	PWR05_20210614_124000.wav	R	
6	Spectrogram 1	1	196428.602010749	196428.910334661	0.3083	0.000	1187.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_124000.wav	48.6020	PWR05_20210614_124000.wav	R	
7	Spectrogram 1	1	196461.101951011	196461.394858727	0.2929	250.000	1875.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	21.1020	PWR05_20210614_125000.wav	R	
8	Spectrogram 1	1	196465.773058282	196466.050549803	0.2775	500.000	1875.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	25.7730	PWR05_20210614_125000.wav	R	
9	Spectrogram 1	1	196466.651781432	196466.836775779	0.1850	437.500	1875.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	26.6518	PWR05_20210614_125000.wav	R	
10	Spectrogram 1	1	196467.746331321	196467.992990450	0.2467	750.000	4125.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	27.7463	PWR05_20210614_125000.wav	R	
11	Spectrogram 1	1	196468.902545992	196469.118372730	0.2158	562.500	4312.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	28.9025	PWR05_20210614_125000.wav	R	
12	Spectrogram 1	1	196469.750436751	196470.012512076	0.2621	625.000	4250.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	29.7504	PWR05_20210614_125000.wav	R	
13	Spectrogram 1	1	196471.122478160	196471.430802073	0.3083	812.500	4187.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	31.1225	PWR05_20210614_125000.wav	R	
14	Spectrogram 1	1	196472.509935766	196472.772011091	0.2621	375.000	1500.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	32.5099	PWR05_20210614_125000.wav	R	
15	Spectrogram 1	1	196474.108632751	196474.416956663	0.3083	62.500	1500.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	34.1086	PWR05_20210614_125000.wav	R	
16	Spectrogram 1	1	196475.372760791	196475.619419921	0.2467	0.000	9250.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	35.3728	PWR05_20210614_125000.wav	R	
17	Spectrogram 1	1	196475.881495247	196476.189819159	0.3083	0.000	4000.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	35.8815	PWR05_20210614_125000.wav	R	
18	Spectrogram 1	1	196477.006877527	196477.207288070	0.2004	0.000	1625.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	37.0069	PWR05_20210614_125000.wav	R	
19	Spectrogram 1	1	196477.592692960	196477.947265459	0.3546	0.000	1375.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	37.5927	PWR05_20210614_125000.wav	R	
20	Spectrogram 1	1	196478.748907631	196479.010982956	0.2621	125.000	1750.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	38.7489	PWR05_20210614_125000.wav	R	
21	Spectrogram 1	1	196479.750960346	196480.074700454	0.3237	62.500	1437.500	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	39.7510	PWR05_20210614_125000.wav	R	
22	Spectrogram 1	1	196482.217551644	196482.695453708	0.4779	0.000	1375.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	42.2175	PWR05_20210614_125000.wav	R	
23	Spectrogram 1	1	196484.314154248	196484.607061965	0.2929	562.500	2750.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	44.3142	PWR05_20210614_125000.wav	R	
24	Spectrogram 1	1	196486.256594896	196486.503254025	0.2467	375.000	2250.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	46.2566	PWR05_20210614_125000.wav	R	
25	Spectrogram 1	1	196484.915385877	196485.177461202	0.2621	250.000	1750.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	44.9154	PWR05_20210614_125000.wav	R	
26	Spectrogram 1	1	196485.457023843	196485.719099169	0.2621	62.500	1750.000	D:\AI_SCMU\2021\Audio\Pinnacle\SM4\5_22_21 to 6_23_21\Data\PWR05_20210614_125000.wav	45.4570	PWR05_20210614_125000.wav	R	
